Id,Name,Type,Level,Race,Attribute,ATK,DEF
416,Souls of the Forgotten,Normal Monster,2,Fiend,DARK,900,200
417,Chaos Burst,Trap Card,,Normal,,,
418,Mobius the Frost Monarch,Effect Monster,6,Aqua,WATER,2400,1000
419,Mountain Warrior,Normal Monster,3,Beast-Warrior,EARTH,600,1000
420,Shaddoll Hedgehog,Flip Effect Monster,3,Spellcaster,DARK,800,200
421,Informer Spider,Effect Monster,4,Insect,EARTH,500,1800
422,Buster Gundil the Cubic Behemoth,Effect Monster,4,Beast,LIGHT,0,0
423,Prediction Princess Astromorrigan,Flip Effect Monster,3,Fairy,DARK,1300,0
424,Submersible Carrier Aero Shark,XYZ Monster,3,Fish,WATER,1900,1000
425,Stellarnova Wave,Trap Card,,Continuous,,,
426,Spiritual Light Art - Hijiri,Trap Card,,Normal,,,
427,Aroma Garden,Spell Card,,Field,,,
428,Battle Tuned,Spell Card,,Quick-Play,,,
429,Battle Ox,Normal Monster,4,Beast-Warrior,EARTH,1700,1000
430,Dinomist Spinos,Pendulum Effect Monster,5,Machine,WATER,2500,1800
431,Neos Wiseman,Effect Monster,10,Spellcaster,LIGHT,3000,3000
432,Elemental HERO Marine Neos,Fusion Monster,8,Warrior,WATER,2800,2300
433,Galaxy Cyclone,Spell Card,,Normal,,,
434,Majespecter Gust,Trap Card,,Normal,,,
435,Amulet of Ambition,Spell Card,,Equip,,,
436,Red-Eyes Zombie Dragon,Effect Monster,7,Zombie,DARK,2400,2000
437,Super-Nimble Mega Hamster,Flip Effect Monster,4,Beast,EARTH,1100,1800
438,Vylon Ohm,Effect Monster,4,Fairy,LIGHT,1500,200
439,Cameraclops,Effect Monster,4,Warrior,LIGHT,1400,1600
440,Zefra Path,Spell Card,,Continuous,,,
441,Jowls of Dark Demise,Flip Effect Monster,2,Fiend,WATER,200,100
442,Skull Mariner,Normal Monster,4,Warrior,WATER,1600,900
443,Evilswarm Obliviwisp,Effect Monster,4,Pyro,DARK,450,2050
444,Elemental HERO Neo Bubbleman,Effect Monster,4,Warrior,WATER,800,1200
445,Transmodify,Spell Card,,Normal,,,
446,Chronomaly Tula Guardian,Effect Monster,5,Rock,EARTH,1800,900
447,Revived King Ha Des,Synchro Monster,6,Zombie,DARK,2450,0
448,Mystical Space Typhoon,Spell Card,,Quick-Play,,,
449,Dragoncarnation,Trap Card,,Normal,,,
450,Evo-Force,Spell Card,,Normal,,,
451,Battlin' Boxer Glassjaw,Effect Monster,4,Warrior,FIRE,2000,0
452,Steam Gyroid,Fusion Monster,6,Machine,EARTH,2200,1600
453,Sword of the Soul-Eater,Spell Card,,Equip,,,
454,Cyber Dragon Zwei,Effect Monster,4,Machine,LIGHT,1500,1000
455,Darkfire Soldier 1,Normal Monster,4,Pyro,FIRE,1700,1150
456,Black Luster Soldier,Ritual Monster,8,Warrior,EARTH,3000,2500
457,Headless Knight,Normal Monster,4,Fiend,EARTH,1450,1700
458,Warrior Lady of the Wasteland,Effect Monster,4,Warrior,EARTH,1100,1200
459,Blazing Inpachi,Normal Monster,4,Pyro,FIRE,1850,0
460,Jurrac Impact,Trap Card,,Normal,,,
461,Flower Cardian Cherry Blossom with Curtain,Effect Monster,3,Warrior,DARK,2000,2000
462,Cyclon Laser,Spell Card,,Equip,,,
463,"Scarr, Scout of Dark World",Effect Monster,2,Fiend,DARK,500,500
464,Majespecter Cat - Nekomata,Pendulum Effect Monster,3,Spellcaster,WIND,100,1800
465,Counselor Lily,Tuner Monster,3,Fairy,EARTH,400,1500
466,Wattberyx,Tuner Monster,3,Thunder,LIGHT,300,0
467,Machina Fortress,Effect Monster,7,Machine,EARTH,2500,1600
468,Exchange,Spell Card,,Normal,,,
469,Dark Illusion,Trap Card,,Counter,,,
470,Scrap Crash,Trap Card,,Normal,,,
471,Samsara Lotus,Effect Monster,1,Plant,DARK,0,0
472,Humanoid Worm Drake,Fusion Monster,7,Aqua,WATER,2200,2000
473,D.D. Trap Hole,Trap Card,,Normal,,,
474,Tuner's Barrier,Trap Card,,Normal,,,
475,Destruction Punch,Trap Card,,Normal,,,
476,Flying Penguin,Normal Monster,4,Aqua,WATER,1200,1000
477,Hannibal Necromancer,Effect Monster,4,Spellcaster,DARK,1400,1800
478,Splendid Venus,Effect Monster,8,Fairy,LIGHT,2800,2400
479,Storming Mirror Force,Trap Card,,Normal,,,
480,Performapal Revival,Trap Card,,Normal,,,
481,The Hidden City,Spell Card,,Field,,,
482,Thousand Energy,Spell Card,,Normal,,,
483,A Rival Appears!,Trap Card,,Normal,,,
484,Soul Release,Spell Card,,Normal,,,
485,Weeping Idol,Effect Monster,2,Rock,DARK,0,500
486,Creation Resonator,Tuner Monster,3,Fiend,WIND,800,600
487,Strike of the Monarchs,Spell Card,,Quick-Play,,,
488,Koa'ki Meiru Ghoulungulate,Effect Monster,5,Zombie,EARTH,2500,1700
489,Bujingi Turtle,Effect Monster,4,Beast,LIGHT,1700,1200
490,Gazelle the King of Mythical Beasts,Normal Monster,4,Beast,EARTH,1500,1200
491,Toon Briefcase,Trap Card,,Normal,,,
492,Vanity's Emptiness,Trap Card,,Continuous,,,
493,Arcana Force EX - The Light Ruler,Effect Monster,10,Fairy,LIGHT,4000,4000
494,Queen's Double,Effect Monster,1,Warrior,EARTH,350,300
495,Shopina the Melodious Maestra,Effect Monster,7,Fairy,LIGHT,2300,1700
496,Double Payback,Trap Card,,Continuous,,,
497,The Gift of Greed,Trap Card,,Normal,,,
498,Raidraptor - Fuzzy Lanius,Effect Monster,4,Winged Beast,DARK,500,1500
499,Mimiclay,Spell Card,,Normal,,,
500,The World Tree,Spell Card,,Continuous,,,
501,Gladiator Beast Murmillo,Effect Monster,3,Fish,WATER,800,400
502,Reversal Quiz,Spell Card,,Normal,,,
503,XX-Saber Boggart Knight,Effect Monster,4,Beast-Warrior,EARTH,1900,1000
504,"Uria, Lord of Searing Flames",Effect Monster,10,Pyro,FIRE,0,0
505,Doomkaiser Dragon,Synchro Monster,6,Zombie,FIRE,2400,1500
506,Magical Exemplar,Effect Monster,4,Spellcaster,EARTH,1700,1400
507,Paladin of Felgrand,Effect Monster,4,Warrior,LIGHT,1700,300
508,Frightfur Fusion,Spell Card,,Normal,,,
509,Beaked Snake,Normal Monster,3,Reptile,EARTH,800,900
510,Emissary of the Oasis,Effect Monster,3,Spellcaster,LIGHT,600,400
511,Bubonic Vermin,Flip Effect Monster,3,Beast,EARTH,900,600
512,At One With the Sword,Trap Card,,Normal,,,
513,Mazera DeVille,Effect Monster,8,Fiend,DARK,2800,2300
514,Malfunction,Trap Card,,Counter,,,
515,Turbo Rocket,Tuner Monster,2,Machine,WIND,0,0
516,Fluffal Mouse,Effect Monster,1,Fairy,EARTH,100,100
517,Geargiagear,Trap Card,,Normal,,,
518,Arcana Knight Joker,Fusion Monster,9,Warrior,LIGHT,3800,2500
519,Arcana Knight Joker,Fusion Monster,9,Warrior,LIGHT,3800,2500
520,Red-Eyes Fusion,Spell Card,,Normal,,,
521,Fighting Spirit,Spell Card,,Equip,,,
522,"Brron, Mad King of Dark World",Effect Monster,4,Fiend,DARK,1800,400
523,R-Genex Turbo,Effect Monster,4,Machine,WIND,1500,1300
524,Do a Barrel Roll,Trap Card,,Counter,,,
525,Amorphage Pride,Pendulum Effect Monster,4,Dragon,EARTH,1750,0
526,The Wicked Worm Beast,Effect Monster,3,Beast,EARTH,1400,700
527,Burglar,Normal Monster,3,Beast,EARTH,850,800
528,Koa'ki Meiru Boulder,Effect Monster,4,Rock,EARTH,1200,1000
529,DZW - Chimera Clad,Effect Monster,1,Fiend,DARK,0,0
530,Rapid-Fire Magician,Effect Monster,4,Spellcaster,DARK,1600,1200
531,Miracle Dig,Spell Card,,Normal,,,
532,Dawn Knight,Effect Monster,4,Warrior,LIGHT,1400,1200
533,Brotherhood of the Fire Fist - Bear,Effect Monster,4,Beast-Warrior,FIRE,1600,1200
534,Eldeen,Normal Monster,3,Spellcaster,LIGHT,950,1000
535,Gaia The Fierce Knight,Normal Monster,7,Warrior,EARTH,2300,2100
536,Gaia The Fierce Knight,Normal Monster,7,Warrior,EARTH,2300,2100
537,Emblem of Dragon Destroyer,Spell Card,,Normal,,,
538,Cyber Commander,Normal Monster,2,Machine,DARK,750,700
539,El Shaddoll Fusion,Spell Card,,Quick-Play,,,
540,Infected Mail,Spell Card,,Continuous,,,
541,Kaiser Sea Snake,Effect Monster,8,Sea Serpent,WATER,2500,1000
542,Amazoness Shamanism,Trap Card,,Normal,,,
543,Wroughtweiler,Effect Monster,3,Machine,EARTH,800,1200
544,"Radius, the Half-Moon Dragon",Effect Monster,4,Dragon,LIGHT,1400,1200
545,Traptrix Rafflesia,XYZ Monster,4,Plant,EARTH,300,2500
546,Spiritual Water Art - Aoi,Trap Card,,Normal,,,
547,Izanagi,Effect Monster,6,Fairy,WIND,2200,1000
548,Thermal Genex,Synchro Monster,8,Machine,FIRE,2400,1200
549,Onomatopaira,Spell Card,,Normal,,,
550,"Blaze Fenix, the Burning Bombardment Bird",Fusion Monster,8,Pyro,FIRE,2800,2300
551,Fog King,Effect Monster,7,Spellcaster,WATER,0,0
552,Beautunaful Princess,Effect Monster,1,Fish,WATER,0,0
553,Beginning Knight,Effect Monster,4,Warrior,LIGHT,500,2000
554,Frostosaurus,Normal Monster,6,Dinosaur,WATER,2600,1700
555,Spikeshield with Chain,Trap Card,,Normal,,,
556,Ultimate Fire Formation - Seito,Trap Card,,Normal,,,
557,Skull Lair,Trap Card,,Continuous,,,
558,Seiyaryu,Normal Monster,7,Dragon,LIGHT,2500,2300
559,Teleport,Spell Card,,Continuous,,,
560,Half Counter,Trap Card,,Normal,,,
561,The Great Emperor Penguin,Effect Monster,5,Aqua,WATER,1800,1500
562,Barox,Fusion Monster,5,Fiend,DARK,1380,1530
563,Super-Ancient Dinobeast,Effect Monster,8,Dinosaur,EARTH,2700,1400
564,A Deal with Dark Ruler,Spell Card,,Quick-Play,,,
565,Return of the Dragon Lords,Spell Card,,Normal,,,
566,Success Probability 0%,Trap Card,,Normal,,,
567,Phantom King Hydride,Tuner Monster,3,Fiend,DARK,1500,300
568,Power Breaker,Effect Monster,4,Warrior,EARTH,1900,0
569,Harpie's Pet Baby Dragon,Effect Monster,4,Dragon,WIND,1200,600
570,Schwarzschild Limit Dragon,Effect Monster,8,Dragon,DARK,2000,0
571,Shadow Toon,Spell Card,,Normal,,,
572,Dark Scorpion - Cliff the Trap Remover,Effect Monster,3,Warrior,DARK,1200,1000
573,Woodland Sprite,Effect Monster,3,Plant,EARTH,900,400
574,Insect Soldiers of the Sky,Effect Monster,3,Insect,WIND,1000,800
575,Power Giant,Effect Monster,6,Rock,EARTH,2200,0
576,Factory of 100 Machines,Spell Card,,Quick-Play,,,
577,Card of the Soul,Spell Card,,Normal,,,
578,Next to be Lost,Trap Card,,Normal,,,
579,Express Train Trolley Olley,Effect Monster,4,Machine,EARTH,1800,1000
580,Magician's Rod,Effect Monster,3,Spellcaster,DARK,1600,100
581,Hane-Hane,Flip Effect Monster,2,Beast,EARTH,450,500
582,Torrential Reborn,Trap Card,,Normal,,,
583,Crystal Beast Sapphire Pegasus,Effect Monster,4,Beast,WIND,1800,1200
584,"Lector Pendulum, the Dracoverlord",Pendulum Effect Monster,4,Dragon,DARK,1950,0
585,Umbral Horror Ghoul,Effect Monster,4,Fiend,DARK,1800,0
586,Field Barrier,Spell Card,,Continuous,,,
587,Bait Doll,Spell Card,,Normal,,,
588,Toon Ancient Gear Golem,Toon Monster,8,Machine,EARTH,3000,3000
589,Armor Exe,Effect Monster,4,Rock,LIGHT,2400,1400
590,"Aurkus, Lightsworn Druid",Effect Monster,3,Beast-Warrior,LIGHT,1200,1800
591,Chocolate Magician Girl,Effect Monster,4,Spellcaster,WATER,1600,1000
592,Metal Shooter,Effect Monster,5,Machine,LIGHT,800,800
593,Mon Larvas,Normal Monster,4,Beast,EARTH,1300,1400
594,Curse of Dragonfire,Effect Monster,5,Dragon,DARK,2000,1500
595,Koalo-Koala,Fusion Monster,6,Beast,EARTH,2800,200
596,Infernity Beast,Effect Monster,3,Beast,DARK,1600,1200
597,Performapal Life Swordsman,Effect Monster,1,Warrior,LIGHT,0,0
598,Abyss Actor - Twinkle Littlestar,Pendulum Effect Monster,4,Fiend,DARK,1000,1000
599,Naturia Pineapple,Effect Monster,2,Plant,EARTH,100,100
600,Amorphage Greed,Pendulum Effect Monster,4,Dragon,EARTH,0,1950
601,Mechanicalchaser,Normal Monster,4,Machine,DARK,1850,800
602,Metallizing Parasite - Lunatite,Union Effect Monster,7,Aqua,WATER,1000,500
603,Goyo Guardian,Synchro Monster,6,Warrior,EARTH,2800,2000
604,Chewbone,Flip Effect Monster,3,Zombie,EARTH,300,300
605,Chewbone Jr. Token,Token,,Zombie,,,
606,Brilliant Fusion,Spell Card,,Continuous,,,
607,Extra Gate,Spell Card,,Quick-Play,,,
608,Dynatherium,Effect Monster,4,Beast,WIND,1600,600
609,Noble Arms of Destiny,Spell Card,,Equip,,,
610,"Zure, Knight of Dark World",Normal Monster,4,Fiend,DARK,1800,1500
611,Naturia Sunflower,Effect Monster,2,Plant,EARTH,500,0
612,Milus Radiant,Effect Monster,1,Beast,EARTH,300,250
613,Eagle Shark,Effect Monster,5,Fish,WATER,1000,1800
614,Gather Your Mind,Spell Card,,Normal,,,
615,Golgoil,Normal Monster,4,Machine,EARTH,900,1600
616,Kabuki Dragon,Effect Monster,6,Dragon,LIGHT,2300,2100
617,Megasonic Eye,Normal Monster,5,Machine,DARK,1500,1800
618,Performage Plushfire,Pendulum Effect Monster,4,Spellcaster,FIRE,1000,1000
619,Collected Power,Trap Card,,Normal,,,
620,D.D. Warrior Lady,Effect Monster,4,Warrior,LIGHT,1500,1600
621,Gladiator Beast Augustus,Effect Monster,8,Winged Beast,DARK,2600,1000
622,Phantom Beast Wild-Horn,Effect Monster,4,Beast-Warrior,EARTH,1700,0
623,Psychic Nightmare,Synchro Monster,6,Psychic,WIND,2400,1800
624,UFOroid,Effect Monster,6,Machine,LIGHT,1200,1200
625,Ghostrick Museum,Spell Card,,Field,,,
626,Rainbow Path,Trap Card,,Normal,,,
627,"Ceruli, Guru of Dark World",Effect Monster,1,Fiend,DARK,100,300
628,Raregold Armor,Spell Card,,Equip,,,
629,Orichalcos Shunoros,Effect Monster,10,Machine,DARK,0,0
630,Aqua Jet,Spell Card,,Normal,,,
631,Bio Plant,Normal Monster,3,Fiend,DARK,600,1300
632,Shien's Spy,Spell Card,,Normal,,,
633,Worm Noble,Flip Effect Monster,6,Reptile,LIGHT,1500,2400
634,Performapal Uni,Effect Monster,4,Beast-Warrior,LIGHT,800,1500
635,Vortex Trooper,Effect Monster,3,Aqua,WIND,0,600
636,Magical Plant Mandragola,Flip Effect Monster,2,Spellcaster,DARK,500,200
637,Niwatori,Normal Monster,3,Winged Beast,EARTH,900,800
638,Gravity Collapse,Trap Card,,Counter,,,
639,Morphtronic Engine,Spell Card,,Equip,,,
640,Majestic Star Dragon,Synchro Monster,10,Dragon,WIND,3800,3000
641,Charging Gaia the Fierce Knight,Effect Monster,7,Warrior,LIGHT,2300,2100
642,Endless Decay,Effect Monster,5,Zombie,DARK,0,0
643,Three Thousand Needles,Effect Monster,8,Beast,EARTH,3000,1800
644,Superheavy Samurai Blowtorch,Effect Monster,1,Machine,EARTH,500,300
645,Metalfoes Silverd,Pendulum Normal Monster,3,Psychic,FIRE,1700,100
646,Psychic Kappa,Normal Monster,2,Aqua,WATER,400,1000
647,Left Arm of the Forbidden One,Normal Monster,1,Spellcaster,DARK,200,300
648,Electromagnetic Bagworm,Flip Effect Monster,3,Insect,LIGHT,200,1400
649,Magician Navigation,Trap Card,,Normal,,,
650,Aegis of the Ocean Dragon Lord,Trap Card,,Normal,,,
651,Blue-Blooded Oni,Effect Monster,4,Zombie,DARK,1000,1700
652,Magical Marionette,Effect Monster,5,Spellcaster,DARK,2000,1000
653,Tachyon Transmigration,Trap Card,,Counter,,,
654,Laval Lakeside Lady,Tuner Monster,3,Pyro,FIRE,200,200
655,Core Reinforcement,Trap Card,,Continuous,,,
656,Binding Chain,Normal Monster,3,Fairy,LIGHT,1000,1100
657,Vennominaga the Deity of Poisonous Snakes,Effect Monster,10,Reptile,DARK,0,0
658,Atlantean Attack Squad,Effect Monster,3,Sea Serpent,WATER,1400,0
659,Super Defense Robot Lio,Effect Monster,4,Machine,EARTH,1200,1600
660,Gate Blocker,Effect Monster,4,Rock,EARTH,100,2000
661,Right Leg of the Forbidden One,Normal Monster,1,Spellcaster,DARK,200,300
662,Sinister Serpent,Effect Monster,1,Reptile,WATER,300,250
663,Poki Draco,Effect Monster,3,Dragon,FIRE,200,100
664,Dragonecro Nethersoul Dragon,Fusion Monster,8,Dragon,DARK,3000,0
665,Dark Soul Token,Token,,Zombie,,,
666,End of the World,Spell Card,,Ritual,,,
667,Star Boy,Effect Monster,2,Aqua,WATER,550,500
668,Gimmick Puppet Humpty Dumpty,Effect Monster,4,Machine,DARK,0,100
669,Ally of Justice Cycle Reader,Tuner Monster,3,Machine,DARK,1000,1000
670,Sage with Eyes of Blue,Tuner Monster,1,Spellcaster,LIGHT,0,1500
671,Ojama Delta Hurricane!!,Spell Card,,Normal,,,
672,Cosmic Cyclone,Spell Card,,Quick-Play,,,
673,Crystal Promise,Spell Card,,Normal,,,
674,Depth Amulet,Trap Card,,Continuous,,,
675,Malefic Paradox Dragon,Synchro Monster,10,Dragon,DARK,4000,4000
676,Jolt Counter,Trap Card,,Counter,,,
677,Fabled Miztoji,Tuner Monster,2,Fiend,LIGHT,400,200
678,Cloak and Dagger,Trap Card,,Continuous,,,
679,Skullbird,Fusion Monster,6,Winged Beast,WIND,1900,1700
680,Xyz Shift,Spell Card,,Normal,,,
681,Air Eater,Normal Monster,6,Fiend,WIND,2100,1600
682,Performapal Gumgumouton,Pendulum Effect Monster,5,Beast,EARTH,900,2400
683,Arcana Force I - The Magician,Effect Monster,4,Fairy,LIGHT,1100,1100
684,Evil Dragon Ananta,Effect Monster,8,Reptile,DARK,0,0
685,Dust Storm of Gusto,Trap Card,,Normal,,,
686,Void Seer,Spell Card,,Quick-Play,,,
687,Giga-Tech Wolf,Normal Monster,4,Machine,FIRE,1200,1400
688,Mosaic Manticore,Effect Monster,8,Beast,EARTH,2800,2500
689,Jester Confit,Effect Monster,1,Spellcaster,DARK,0,0
690,Chu-Ske the Mouse Fighter,Normal Monster,3,Beast,EARTH,1200,0
691,The First Monarch,Trap Card,,Continuous,,,
692,Scrap Fist,Spell Card,,Quick-Play,,,
693,Raidraptor - Nest,Spell Card,,Continuous,,,
694,"Leo, the Keeper of the Sacred Tree",Synchro Monster,10,Beast,EARTH,3100,1900
695,Infernalqueen Archfiend,Effect Monster,4,Fiend,FIRE,900,1500
696,Jurrac Brachis,Tuner Monster,3,Dinosaur,FIRE,1000,1000
697,Lavalval Dragun,Synchro Monster,6,Dragon,FIRE,2500,1200
698,D.D. Dynamite,Trap Card,,Normal,,,
699,Evo-Karma,Spell Card,,Continuous,,,
700,Dark Cat with White Tail,Flip Effect Monster,2,Beast,EARTH,800,500
701,Deep Sweeper,Effect Monster,4,Fish,WATER,1600,1300
702,Dreamsprite,Effect Monster,2,Plant,LIGHT,300,200
703,Gem-Knight Zirconia,Fusion Monster,8,Rock,EARTH,2900,2500
704,Hazy Flame Hydra,Effect Monster,6,Dinosaur,FIRE,2300,200
705,D - Counter,Trap Card,,Normal,,,
706,Red Mirror,Effect Monster,1,Fiend,FIRE,0,0
707,Bokoichi the Freightening Car,Normal Monster,2,Machine,DARK,500,500
708,Abyss-scale of the Kraken,Spell Card,,Equip,,,
709,Gladiator Beast's Battle Archfiend Shield,Spell Card,,Equip,,,
710,Beelzeus of the Diabolic Dragons,Synchro Monster,10,Dragon,DARK,4000,4000
711,Hourglass of Life,Normal Monster,2,Fairy,LIGHT,700,600
712,Raidraptor - Wild Vulture,Effect Monster,6,Winged Beast,DARK,1600,2000
713,Maju Garzett,Effect Monster,7,Fiend,DARK,0,0
714,Combo Fighter,Effect Monster,4,Warrior,WIND,1600,800
715,Evilswarm Mandragora,Effect Monster,4,Plant,DARK,1550,1450
716,Ally of Justice Cosmic Gateway,Effect Monster,8,Machine,DARK,2400,1200
717,Cubic Mandala,Trap Card,,Continuous,,,
718,Poison of the Old Man,Spell Card,,Quick-Play,,,
719,Artifact Chakram,Effect Monster,5,Fairy,LIGHT,1900,2000
720,Star Seraph Scout,Effect Monster,4,Fairy,LIGHT,1200,1800
721,Djinn Releaser of Rituals,Effect Monster,3,Fiend,DARK,1200,2000
722,Lord Gaia the Fierce Knight,Effect Monster,7,Warrior,EARTH,2300,2100
723,The Drdek,Normal Monster,3,Fiend,DARK,700,800
724,A Hero Lives,Spell Card,,Normal,,,
725,Respect Play,Trap Card,,Continuous,,,
726,Combination Attack,Spell Card,,Quick-Play,,,
727,"Sephylon, the Ultimate Timelord",Effect Monster,10,Fairy,LIGHT,4000,4000
728,Black-Winged Dragon,Synchro Monster,8,Dragon,DARK,2800,1600
729,Galaxy Dragon,Effect Monster,4,Dragon,LIGHT,2000,1200
730,Graceful Tear,Trap Card,,Normal,,,
731,Blackwing - Steam the Cloak,Tuner Monster,3,Winged Beast,DARK,800,1200
732,Steam Token,Token,,Aqua,,,
733,Gagagigo the Risen,XYZ Monster,4,Reptile,WATER,2950,2800
734,General Grunard of the Ice Barrier,Effect Monster,8,Warrior,WATER,2800,1000
735,Infernity Barrier,Trap Card,,Counter,,,
736,Major Riot,Trap Card,,Normal,,,
737,Armed Ninja,Flip Effect Monster,1,Warrior,EARTH,300,300
738,Performapal Gongato,Pendulum Effect Monster,1,Beast,EARTH,100,100
739,Blackwing - Fane the Steel Chain,Effect Monster,2,Winged Beast,DARK,500,800
740,Ostinato,Spell Card,,Normal,,,
741,Swap Frog,Effect Monster,2,Aqua,WATER,1000,500
742,Ritual Sealing,Trap Card,,Normal,,,
743,Apprentice Magician,Effect Monster,2,Spellcaster,DARK,400,800
744,Dark Gray,Normal Monster,3,Beast,EARTH,800,900
745,Dragon Statue,Normal Monster,3,Warrior,EARTH,1100,900
746,D - Fortune,Trap Card,,Normal,,,
747,Gishki Photomirror,Spell Card,,Ritual,,,
748,Galaxy-Eyes Cloudragon,Effect Monster,1,Dragon,LIGHT,300,250
749,Horus' Servant,Effect Monster,1,Beast-Warrior,FIRE,100,100
750,Flashbang,Trap Card,,Normal,,,
751,Stellarknight Constellar Diamond,XYZ Monster,5,Wyrm,LIGHT,2700,2000
752,Venom Boa,Effect Monster,5,Reptile,EARTH,1600,1200
753,Dark Renewal,Trap Card,,Normal,,,
754,Metal Dragon,Fusion Monster,6,Machine,WIND,1850,1700
755,Fluffal Crane,Trap Card,,Normal,,,
756,Elemental HERO Voltic,Effect Monster,4,Thunder,LIGHT,1000,1500
757,The Phantom Knights of Mist Claws,Trap Card,,Normal,,,
758,"Cagna, Malebranche of the Burning Abyss",Effect Monster,3,Fiend,DARK,1500,300
759,Cloudcastle,Synchro Monster,9,Machine,WIND,0,3000
760,Photon Veil,Spell Card,,Normal,,,
761,Speed Warrior,Effect Monster,2,Warrior,WIND,900,400
762,Fuhma Shuriken,Spell Card,,Equip,,,
763,Gravi-Crush Dragon,Effect Monster,6,Dragon,DARK,2400,1200
764,Superheavy Samurai Battleball,Tuner Monster,2,Machine,DARK,100,800
765,Destiny HERO - Malicious,Effect Monster,6,Warrior,DARK,800,800
766,Bujin Hirume,Effect Monster,4,Beast-Warrior,LIGHT,2000,1000
767,Jinzo - Returner,Effect Monster,3,Machine,DARK,600,1400
768,LaLa Li-Oon,Normal Monster,2,Thunder,WIND,600,600
769,Malefic Blue-Eyes White Dragon,Effect Monster,8,Dragon,DARK,3000,2500
770,U.A. Goalkeeper,Effect Monster,6,Warrior,EARTH,1000,2800
771,Boulder Tortoise,Normal Monster,6,Aqua,WATER,1450,2200
772,Reaper of Prophecy,Effect Monster,6,Spellcaster,DARK,2000,1600
773,Monster Slots,Spell Card,,Normal,,,
774,Gagaga Caesar,Effect Monster,3,Warrior,EARTH,1800,600
775,Chaos Sorcerer,Effect Monster,6,Spellcaster,DARK,2300,2000
776,Shadowknight Archfiend,Effect Monster,4,Fiend,WIND,2000,1600
777,D.D.R. - Different Dimension Reincarnation,Spell Card,,Equip,,,
778,"Iris, the Earth Mother",Effect Monster,6,Fairy,LIGHT,2400,1200
779,Guardian Kay'est,Effect Monster,4,Sea Serpent,WATER,1000,1800
780,Des Wombat,Effect Monster,3,Beast,EARTH,1600,300
781,Kaminari Attack,Fusion Monster,5,Thunder,WIND,1900,1400
782,Cubic Karma,Spell Card,,Continuous,,,
783,Golem Dragon,Effect Monster,4,Dragon,EARTH,200,2000
